sub,int,x,y
101,0.9691228122082207,1.1021043855671127,1.405546237906547
103,0.9361316008472528,1.1483439311042452,1.417099525777542
104,0.9240117835336153,1.1217661636718308,1.420176497273132
105,0.8909468470606825,0.9889749959951207,1.3120214038592941
107,1.1693230139804531,1.0000236859236729,1.303334479356255
108,0.8638943010585804,0.9385183299783739,1.240956202595727
109,0.7863865883405459,0.9546985117688799,1.1133748318200247
110,0.8905540592855196,1.134569813582286,1.5089117102863876
112,0.8790777955236047,0.8919782703169972,1.2051432986391428
113,0.8515757837359794,1.057646159971753,1.4318927822499408
114,0.9186012056876134,1.0838262499748266,1.318408653846105
115,0.7284529657785366,1.0404133141572216,1.2925201393313932
116,0.9281416705640637,1.0454300656386928,1.309177073198624
117,0.8916458187381424,1.0484580842010722,1.264390809071506
118,1.098225054783783,1.093395912400391,1.407196631007084
119,0.8256814559436733,1.1209595163464534,1.3947806881811078
120,1.0175460057156303,1.162988761609938,1.3683752185411118
121,0.8748455769611359,1.1230330799416688,1.40076240619881
122,0.9328836897375191,1.0794394665402303,1.3747741505443845
123,0.873688540483012,1.039011524503801,1.2390545942912163
124,0.9917769652857618,0.9827760314339155,1.3858834770689248
125,0.9610964035323737,1.0939528127465872,1.4968044475973072
126,1.0139680250750638,1.0162909596707923,1.372403170412395
127,0.9136231057764409,0.9953686831699505,1.2246925159873967
128,1.0206517629481604,1.1154035567377252,1.4699075501431165
129,0.9109204841106407,1.189468021596021,1.5989985505484088
130,0.978665277918677,1.1596472122577923,1.4117972082735022
131,0.8818287365912254,0.9691901361553391,1.2168174264475926
132,0.8324862500951867,1.0805593774131859,1.3742971384576212
133,0.9691747481439092,1.009798289891738,1.243742323944089
134,0.9233826429973084,0.972605242462731,1.2948431144237198
135,1.067918901912293,1.2809401023000753,1.6452271915296457
136,1.057177644549135,1.2895829356260942,1.7002309832651696
137,0.9906409388231077,0.9525620464261404,1.387422948246998
138,0.972054637981591,1.0879649734129209,1.3018494582048654
139,0.8237263172876557,1.1327385067561164,1.3211359393905995
140,1.1075949603787287,1.1016126648740583,1.3726712607905036
141,0.9186874699727363,1.089004274319158,1.396362836045136
142,0.8820002113563064,1.1134164672783664,1.3989979171702591
143,0.9592366932142928,1.0120664591294077,1.3083115032641068
145,0.9884105499221004,1.0911511148380821,1.4724531850036382
146,0.7675190147404538,1.1605671640196757,1.4412505474607875
147,1.0544389251036816,1.07481409048791,1.3804806349689884
148,0.9017877666641914,1.0313729392908164,1.416886394627038
149,0.876169141095754,1.0666077559536291,1.4323581349841044
150,1.1504778676041585,1.0553524528295473,1.497576680099484
202,1.7986886702893294,1.0821424575930996,1.186701152454039
203,1.6430113048650234,1.085454383890103,1.1505016159970216
204,1.424543071175895,1.0924487439478765,1.13466755282338
205,1.3886209697989942,1.0888483955312853,1.1642302604333634
206,1.321230605565163,1.081447602820899,1.1970202909278986
207,1.536146466885966,1.1036203073850297,1.1704780951236324
208,1.3494910768889055,1.0961588613658018,1.143686240135727
209,1.6765734941644284,1.0523653633575172,1.1538211162416587
210,1.6638539498092988,1.0615045170417703,1.0982591354798634
211,1.7357069641247924,1.1174263961135893,1.166746260740013
212,1.7210176933168504,1.094108857200794,1.1987733208612183
213,1.4318342311371517,1.0742478303934067,1.126308329014083
214,1.393840485317258,1.0968331184085913,1.140482719092524
215,1.3828143975236553,1.102484639205645,1.208336783821525
216,1.3583227329235745,1.0633085709240977,1.1215806787986173
217,1.2670905891098587,1.0700446573783877,1.1133792155163276
218,1.2341185383618016,1.1002746237287282,1.1732736819193956
219,1.174215594324073,1.0667897026655242,1.1300490574253303
220,1.535864075626727,1.0692190699231825,1.1498954315623027
221,1.5780742225928464,1.079220469354113,1.1435716921905665
222,1.112481819482037,1.054875004168533,1.099233851757027
224,1.4870792403721116,1.0900023567898232,1.1787726489735766
225,1.3481353697359826,1.0815114693301902,1.1253115384646832
226,1.5894003704050663,1.1017448622348704,1.2269938532585856
227,1.4814539699726608,1.1041589638990972,1.1761142266943867
228,1.4274181923357971,1.1160982360167604,1.1833782728464772
229,1.4656968672453672,1.0696103943729927,1.1639591995892118
230,1.4842896220979085,1.0685709351803327,1.1610548293953362
231,1.3762798488324741,1.1068543188246618,1.2577408549894082
232,1.4297133182112298,1.081999295771393,1.1298037927488451
233,1.4119836324841462,1.1133160652482703,1.1908239058840695
235,1.5251468486866735,1.085645797502172,1.1399763568250079
236,1.4274349785816955,1.063996514721178,1.1656637833321726
237,1.6689743572201752,1.1332735921671135,1.246778570620755
238,1.5154246616590756,1.1024488940234627,1.1920278827726305
239,1.7883148714562735,1.076449022243928,1.1845501219802645
240,1.8333203255895258,1.0838800081773137,1.1820077365165744
241,1.670591635478321,1.1232756965741335,1.2343625649640684
242,1.4174453212867382,1.1134874825019587,1.2109213517321804
243,1.4026486903403317,1.0556619882543645,1.1085021908422943
244,1.2668366653370156,1.0795428985255802,1.1363944644748536
245,1.2731696735328388,1.0744282771421276,1.133230898453212
247,1.4300010466909365,1.119492012905312,1.183963712295373
248,1.7067177119841241,1.1189984512227422,1.1599104723050326
249,1.3008281574507714,1.052066827240711,1.1170062751592926
250,1.61212639509889,1.110845248318012,1.241627779552571
